id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
0d4ccd48cd547b38,2000,6,33646,6,0010,,400.0,26.3,Final
d6f77c6ceca2eef3,2000,6,79633,6,0010,,1950.0,1.0,Final
f9e0dd5393ac77d0,2000,6,74843,6,0010,,800.0,7.4,Final
66fdf1bcd75f65e9,2000,6,80673,6,0010,,1300.0,2.9,Final
df9e3f09936a16c2,2000,6,38245,6,0010,,800.0,22.2,Final
b4fbc7af1244a153,2000,6,31598,6,5620,5.62,1800.0,2.0,Final
855a75df0a600f53,2000,6,59887,6,0010,,400.0,7.1,Final
0b553e57e845e5d0,2000,6,55124,6,0010,,600.0,3.4,Final
41ec6f5c4463104e,2000,7,91039,7,5620,5.62,1501.1,3.4,Final
a560f43e8b0cb310,2000,7,62594,7,0010,,155.0,284.9,Final
e81d5936ccf26ec7,2000,7,93146,7,2072,2.072,4.0,110.6,Final
c3c034d25f1968c1,2000,7,46999,7,0010,,155.0,456.8,Final
8a6f85b5804192ca,2000,7,38174,7,0010,,800.0,4.7,Final
9dbf049722bba377,2000,7,66546,7,0010,,886.0,41.5,Final
ad9e315e99f7134f,2000,7,45183,7,4350,4.35,1200.0,20.9,Final
5a8ae84bf7b07434,2000,7,60317,7,0010,,574.05,201.1,Final
9025430020f80623,2000,7,82076,7,1010,1.01,1350.0,0.6,Final
a0fc1e69418da3da,2000,7,91155,7,0010,,800.0,119.6,Final
d1d6b7b4c4fe8960,2000,7,84170,7,1210,1.21,800.0,38.3,Final
ef8b09ca1f0b68c2,2000,7,91354,7,1610,1.61,1663.93,5.0,Final
43ba156ec796d857,2000,7,51980,7,0010,,155.0,306.6,Final
3ee067c552658bf7,2000,7,57907,7,0010,,4504.12,0.5,Final
e289a8c36e3bf893,2000,7,79539,7,0010,,700.0,5.4,Final
a752fef4493a870d,2000,7,23534,7,4950,4.95,1450.0,13.8,Final
667444aa71645702,2000,7,89075,7,0010,,1200.0,45.0,Final
060d5360f765d644,2000,7,32683,7,3345,3.345,525.0,187.8,Final
16a251b6a4f4875d,2000,7,92789,7,0010,,1450.0,0.5,Final
1e2ed2b0dd6c5f67,2000,7,25250,6,0010,,1600.0,14.1,Final
07c29631f4ad6853,2000,7,65102,6,0010,,800.0,1.0,Final
13f71926e98f8de4,2000,7,60420,6,0010,,155.0,418.5,Final
1dcdaa02cff2d90a,2000,7,55894,6,1260,1.26,850.0,11.1,Final
d14b752527b56e7c,2000,7,49411,6,0010,,1999.18,11.6,Final
d15db39fc0d8402a,2000,7,31159,6,1580,1.58,2000.0,34.0,Final
12369d8e97372278,2000,7,37688,6,0010,,3421.79,15.2,Final
8d0356a661d3c5bf,2000,7,69496,6,0010,,155.0,188.7,Final
1b1313ab5aa1c1ee,2000,7,14303,6,0010,,155.0,255.1,Final
c2debbf4b3b214a9,2000,7,97003,6,0010,,1198.48,10.4,Final
a3e91b1ade4c9b4b,2000,7,41265,6,1630,1.63,1300.0,2.4,Final
c0230e495de2774b,2000,7,50245,6,1210,1.21,500.0,72.6,Final
d285594594caf700,2000,7,19354,6,4955,4.955,1300.0,36.9,Final
425e29bbd9508125,2000,7,13696,6,1010,1.01,1900.0,8.6,Final
